source_account,target_account,status,source_usage,account_role,dq_flag,pair_id,local_amount_expected,notes
1000,A.A,mapped,live,,,,true,
1010,A.A,mapped,live,,,,true,
1020,A.A,mapped,live,,,,true,
1030,A.A,mapped,live,,,,true,
1100,A.B,mapped,live,,,,true,
1150,A.B,mapped,live,,,,true,
1155,A.B,mapped,live,,,,true,
1160,A.B,mapped,live,,,,true,
1200,A.C,mapped,live,,,,true,
1410,A.C,mapped,live,,,,true,
1420,A.C,mapped,live,,,,true,
1450,A.H,mapped,live,,,,true,
1460,A.B,mapped,live,,,,true,
1500,A.F,mapped,live,,,,true,
1510,A.F,mapped,live,,,,true,
1519,A.F,mapped,live,,,,true,
1520,A.F,mapped,live,,,,true,
1525,A.F,mapped,live,,,,true,
1529,A.F,mapped,live,,,,true,
1530,A.F,mapped,live,,,,true,
1539,A.F,mapped,live,,,,true,
1540,A.F,mapped,live,,,,true,
1549,A.F,mapped,live,,,,true,
1550,A.F,mapped,live,,,,true,
1555,A.F,mapped,live,,,,true,
1559,A.F,mapped,live,,,,true,
1560,A.F,mapped,live,,,,true,
1569,A.F,mapped,live,,,,true,
1570,A.F,mapped,live,,,,true,
1579,A.F,mapped,live,,,,true,
1580,A.F,mapped,live,,,,true,
1589,A.F,mapped,live,,,,true,
1590,A.F,mapped,live,,,,true,
1595,A.F,mapped,live,,,,true,
1599,A.F,mapped,live,,,,true,
1600,A.F,mapped,live,,,,true,
1609,A.F,mapped,live,,,,true,
1900,A.G,mapped,live,,,,true,
1910,A.G,mapped,live,,,,true,
1920,A.G,mapped,live,,,,true,
1930,A.G,mapped,live,,,,true,
1950,A.F,mapped,live,,,,true,
2000,L.A,mapped,live,,,,true,
2050,L.A,mapped,live,,,,true,
2055,L.A,mapped,live,,,,true,
2100,L.D,mapped,live,,,,true,
2110,L.D,mapped,live,,,,true,
2120,L.D,mapped,live,,,,true,
2130,L.D,mapped,live,,,,true,
2150,L.B,mapped,live,,,,true,
2160,L.B,mapped,live,,,,true,
2170,L.F,mapped,live,,,,true,
2200,L.B,mapped,live,,,,true,
2210,L.B,mapped,live,,,,true,
2220,L.B,mapped,live,,,,true,
2300,L.B,mapped,live,,,,true,
2400,L.C,mapped,live,,,,true,
2410,L.F,mapped,live,,,,true,
2450,L.F,mapped,live,,,,true,
2460,L.F,mapped,live,,,,true,
2500,L.D,mapped,live,,,,true,
2600,L.E,mapped,live,,,,true,
2610,L.E,mapped,live,,,,true,
2620,L.E,mapped,live,,,,true,
2700,L.F,mapped,live,,,,true,
2800,L.F,mapped,live,,,,true,
2900,L.B,mapped,live,,,,true,
3000,E.A,mapped,live,,,,true,
3100,E.A,mapped,live,,,,true,
3150,E.A,mapped,live,,,,true,
3200,E.B,mapped,live,,,,true,
3300,E.B,mapped,live,,,,true,
3400,E.D,mapped,live,,,,true,
3500,E.C,mapped,live,,,,true,
3510,E.C,mapped,live,,,,true,
3600,E.B,mapped,live,,,,true,
3700,E.B,mapped,live,,,,true,
3710,E.B,mapped,live,,,,true,
3800,E.C,mapped,live,,,,true,
4000,R.A,mapped,live,,,,true,
4010,R.A,mapped,live,,,,true,
4020,R.A,mapped,live,,,,true,
4100,R.A,mapped,live,,,,true,
4500,R.B,mapped,live,,,,true,
4850,R.B,mapped,live,,,,true,
4900,R.B,mapped,live,,,,true,
4950,R.B,mapped,live,,,,true,
5000,X.A,mapped,live,,,,true,
5100,X.A,mapped,live,,,,true,
5110,X.A,mapped,live,,,,true,
5120,X.A,mapped,live,,,,true,
5130,X.A,mapped,live,,,,true,
5140,X.A,mapped,live,,,,true,
5150,X.A,mapped,live,,,,true,
5200,X.A,mapped,live,,,,true,
5210,X.A,mapped,live,,,,true,
5300,X.A,mapped,live,,,,true,
5310,X.A,mapped,live,,,,true,
5400,X.B,mapped,live,,,,true,
6000,X.D,mapped,live,,,,true,
6010,X.D,mapped,live,,,,true,
6100,X.B,mapped,live,,,,true,
6200,X.B,mapped,live,,,,true,
6205,X.B,mapped,live,,,,true,
